name,nation,score,peoples,date
SSSS.古立特,日本,8.2,3495,2018/10/6
高玩救未来 第二季,美国,8.2,1124,2019/1/11
加勒比海盗2：聚魂棺,美国,8.2,256670,2006/7/7
哥谭 第一季,美国,8.2,17763,2014/9/22
奥维尔号 第一季,美国,8.2,2138,2017/9/10
今夕何夕2,美国,8.2,1901,2017/10/20
最终幻想7：圣子降临,日本,8.2,46278,2005/9/14
大群 第二季,美国,8.2,4583,2018/4/3
大都会,日本,8.2,16327,2001/5/26
乐园追放,日本,8.2,5086,2014/11/15
铁甲小宝,日本,8.2,11365,1997/2/23
特工卡特 第二季,美国,8.2,6808,2016/1/19
化身博士,,8.2,1458,1932/1/2
你 第一季,美国,8.2,10745,2018/9/9
8号房间,英国,8.2,12746,2013/4/24
复仇者联盟3：无限战争,加州首映,8.1,543988,2018/4/23
升级,西南偏南电影节,8.1,82301,2018/3/10
明日边缘,美国,8.1,311488,2014/6/6
钢铁侠,悉尼首映,8.1,335615,2008/4/14
复仇者联盟,复仇者联盟,8.1,441918,2012/5/4
后天,墨西哥城首映,8.1,283667,2004/5/17
猩球崛起,美国,8.1,303443,2011/8/5
我，机器人,美国,8.1,177004,2004/7/16
十二猴子,,8.1,148793,1995(罗马尼亚)
侏罗纪公园,美国,8.1,202398,1993/6/11
泰坦 第一季,纽约漫展,8.1,6589,2018/10/3
人猿星球,,8.1,23066,1968/2/8
星球大战前传1：幽灵的威胁,美国,8.1,75874,1999/5/19
我是谁：没有绝对安全的系统,德国,8.1,102001,2014/9/25
勇敢者的游戏,美国,8.1,93299,1995/12/15
罗拉快跑,德国,8.1,175626,1998/8/20
当你沉睡时,韩国,8.1,54226,2017/9/27
电子梦：菲利普·狄克的世界,英国,8.1,5032,2017/9/17
国家公敌,美国,8.1,82008,1998/11/20
妙想天开,英国,8.1,11620,1985/2/22
睁开你的双眼,,8.1,10369,1997/12/19
不吉波普不笑,日本,8.1,2740,2019/1/4
生存家族,日本,8.1,66733,2017/2/11
星际旅行4：抢救未来,,8.1,7273,1986/11/26
穿越者 第二季,美国,8.1,443,2017/10/16
流浪地球,中国大陆,8,1119933,2019/2/5
银河护卫队2,洛杉矶首映,8,315501,2017/4/19
独立日,加拿大,8,177442,1996/7/2
云图,美国,8,310692,2012/10/26
黑衣人,美国,8,193423,1997/7/2
我是传奇,美国,8,251094,2007/12/14
星际迷航,美国,8,117652,2009/5/8
终结者,美国,8,122304,1984/10/26
